Subject,Gender,Age,Trait Anxiety,WTPabsmarketchange,WTPsignedmarketchange,vWTP
1,0,21,35,4.51071995,0.243319492,31.4742268
2,1,24,39,-0.128456834,0.031718444,0.131868132
3,1,24,36,1.875478683,0.602760285,3.740932642
4,1,20,59,8.479646982,-1.856089382,16.54271357
5,0,23,31,1.040126017,-0.400778597,7.5
6,0,27,23,0.35815227,0.193408166,0.873684211
7,1,23,28,-0.214398386,-0.145918251,1.081081081
8,1,21,35,0.051964916,-0.037856183,0.156565657
9,1,22,62,7.900536638,11.55101318,30.03125
10,1,21,41,1.087923072,-0.534437025,3.821621622
11,0,24,38,5.597715005,8.045105565,-0.121212121
12,0,33,33,-0.58139192,0.478056596,-0.248730964
13,0,21,34,0.024352726,-0.0268356,0.062827225
14,0,24,29,-0.027123222,0.243938302,0.47
15,0,42,37,1.672258316,-0.328739576,4.525252525
16,1,19,43,0.208005156,-0.410524665,0.303664921
17,0,26,48,0.339552198,-0.600361157,0.552763819
18,0,25,68,2.395845131,0.365228494,1.92893401
19,1,21,38,-0.049026614,0.019880014,-0.066666667
20,1,61,36,3.396565144,-1.560707841,0.926553672
21,1,23,57,1.913625866,1.933518603,7.192893401
22,1,21,46,-0.012535861,0.001202919,-0.035532995
23,1,20,37,3.259418037,0.902361098,5.025
24,1,20,53,-0.375156449,-0.314864545,0.146464646
25,1,20,58,3.004521142,-6.73147116,-4.071823204
26,1,21,55,6.618656543,4.35610656,19.15217391
27,1,19,44,0.02308559,0.040587532,0.098445596
28,1,22,34,-0.603833664,1.342241872,2.515151515
29,0,38,51,4.672200671,-1.907758645,9.884422111
30,1,18,40,3.321724379,1.402075084,12.05649718
31,0,31,29,0.327753771,-1.6710399,-4.59798995
32,1,20,51,0.767675736,0.642216604,1.010309278
33,0,31,54,0.253829125,0.328201339,0.418478261
34,1,21,66,0.166011536,3.092667146,-0.59
35,1,31,20,-1.3219168,4.528463498,15.995
36,0,30,49,-0.915426936,6.363384567,8.53
37,1,66,40,-5.010004448,15.38828112,47.64141414
38,0,45,42,10.87368779,4.07326213,-72.765
39,1,29,39,-1.070003411,-0.192462257,-6.683615819
40,1,42,39,1.070793801,1.272374361,-18.18848168
41,1,59,53,0.020315842,-0.002573496,0.08045977
42,1,28,23,1.488750488,0.895026217,7.299492386
